neighborhood,category,resource_count
Alief,Refugee & Immigration Services,1
Citywide,Education & ESL,3
Citywide,Food Assistance,1
Citywide,Healthcare,1
Citywide,Refugee & Immigration Services,1
East End,Education & ESL,1
East End,Healthcare,1
Gulfton,Multi-Service Community Center,1
Gulfton,Refugee & Immigration Services,2
Midtown,Refugee & Immigration Services,1
Montrose,Food Assistance,1
Near Northside,Food Assistance,1
Northside,Education & ESL,1
Northwest Houston,Food Assistance,1
Southwest Houston,Healthcare,1
Southwest Houston,Refugee & Immigration Services,2
Spring Branch,Education & ESL,1
Spring Branch,Refugee & Immigration Services,1
